,title,artist,album,genre,publisher,agency,pub_date,listeners,streams
0,미리 메리 크리스마스 (Feat. 천둥 of MBLAQ),아이유 (IU),REAL,전체 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2010.12.09,2069615,23697524
1,롤린 (Rollin'),브레이브걸스 (Brave girls),Rollin',댄스 / 가요,㈜음악형제들,브레이브엔터테인먼트 (BRAVE ENTERTAINMENT),2017.03.07,2178722,69771315
2,축가,전우성 (노을),"2018戀歌(연가), 6월의 고백 '축가'",발라드 / 가요,지니뮤직,더블킥엔터테인먼트,2018.06.08,573849,13658645
3,저녁 하늘,에일리 (Ailee),Invitation,락 / 가요,카카오엔터테인먼트,YMC엔터테인먼트㈜,2012.10.16,1380847,23512005
4,눈물 자국,김종국,러브 인 메모리 2 - 아빠의 노트,드라마 / OST,Sony Music,디지털씨앤엠,2014.03.10,48655,220744
5,오늘…그녀가,루그 (Lug),2008 Lug’s The Second Album,전체 / 가요,RIAK,오픈월드엔터테인먼트,2008.03.25,95907,1222047
6,향수,케이윌 & 전우성,이단옆차기 프로젝트 Vol.04,발라드 / 가요,카카오엔터테인먼트,더블킥엔터테인먼트,2013.12.17,263164,1789640
7,안녕,박혜경,Serahpim,전체 / 가요,Universal Music,Flat Be,2003.06.17,215404,1191441
8,FLY,SUPER JUNIOR-K.R.Y. (슈퍼주니어-K.R.Y.),FLY (Digital Single),락 / 가요,지니뮤직,Stone Music Entertainment,2011.04.15,8067,91910
9,하이힐,브레이브걸스 (Brave girls),HIGH HEELS,댄스 / 가요,㈜음악형제들,브레이브엔터테인먼트 (BRAVE ENTERTAINMENT),2016.06.27,385689,4608285
10,눈물아안녕 (아이비),Gayo Best,가요베스트 MR 46,발라드 / 가요,㈜다날엔터테인먼트,사운드섬,2014.01.08,1947,4623
11,이름,임재범,이름,발라드 / 가요,오감엔터테인먼트,씨앤티컴퍼니,2015.10.06,115052,950140
12,내 입술...따뜻한 커피처럼,샵 (S#arp),Flat Album,댄스 / 가요,RIAK,,2001.11.01,1034186,12042839
13,그 중에 그대를 만나,이선희,'SERENDIPITY' 30주년 기념앨범,발라드 / 가요,(주)후크엔터테인먼트,(주)후크엔터테인먼트,2014.03.25,1637625,24685497
14,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭 & 정은지,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",댄스 / 가요,카카오엔터테인먼트,"TOON STUDIO, 느을",2021.03.05,1480515,25561156
15,맨발의 청춘,벅 (Buck),맨발의 청춘,전체 / 가요,RIAK,,1997.01.10,444744,2858708
16,여자라서,아이유 (IU),로드넘버원 OST Part.3 (MBC 수목드라마),드라마 / OST,카카오엔터테인먼트,더그루브엔터테인먼트 (더그루브컴퍼니),2010.07.14,514848,3757259
17,살아서도.. 죽어서도..,Various Artists,바람의 나라 OST,전체 / 가요,RIAK,퀸즈벨,2008.10.15,127154,1016262
18,Give It 2 Me,신화,WE,댄스 / 가요,뮤직앤뉴,신화컴퍼니 (SHINHWA COMPANY),2015.02.26,39565,621499
19,바다 끝,최백호,불혹,발라드 / 가요,"지니뮤직, Stone Music Entertainment","최백호, 누플레이, 산타뮤직",2017.03.09,64010,572194
20,젊은 날의 초상,주영훈,Ballad Vol.1,발라드 / 가요,RIAK,,1996.11.01,6965,60559
21,동네한바퀴 (꽃다운나이) (Feat. 칸토 (트로이)),이선희,'SERENDIPITY' 30주년 기념앨범,발라드 / 가요,(주)후크엔터테인먼트,(주)후크엔터테인먼트,2014.03.25,86640,340909
22,U,백현 (BAEKHYUN),어느 날 우리 집 현관으로 멸망이 들어왔다 OST Part.3 (tvN 월화드라마),드라마 / OST,뮤직앤뉴,"뮤직앤뉴, 스튜디오앤뉴",2021.05.31,107979,1526671
23,넌 is 뭔들,마마무(Mamamoo),Melting,댄스 / 가요,"지니뮤직, Stone Music Entertainment","㈜RBW, Stone Music Entertainment",2016.02.26,1528352,26821721
24,Boo,아이유 (IU),Growing Up,전체 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2009.04.23,560716,3611245
25,다툼 (Feat. 40),제리케이 (Jerry.K),연애담 : 생각해 볼만한 사랑 이야기,랩/힙합 / 가요,주식회사 루미넌트엔터테인먼트,DAZE ALIVE,2012.02.03,18676,198204
26,겁나 (Feat. 매드클라운),멜로디데이 (MelodyDay),겁나,발라드 / 가요,카카오엔터테인먼트,"카카오엔터테인먼트, 뷰가엔터테인먼트",2014.12.12,148663,1048344
27,소주 한 잔,임창정,Bye,전체 / 가요,워너뮤직,WM Korea,2003.06.05,2018413,27875550
28,BAAM,MOMOLAND (모모랜드),Fun to The World,댄스 / 가요,카카오엔터테인먼트,"(주)엠엘디엔터테인먼트, 카카오엔터테인먼트",2018.06.26,1437661,23388872
29,2U,강다니엘,CYAN,R&B/소울 / 가요,Sony Music,KONNECT ENTERTAINMENT,2020.03.24,423553,25909454
30,I Can't,2PM,Hands Up,댄스 / 가요,Dreamus,(주)JYP엔터테인먼트,2011.06.20,39024,387109
31,Dream Night,ASTRO (아스트로),Dream Part.01,전체 / 가요,카카오엔터테인먼트,판타지오뮤직,2017.05.29,22010,247013
32,아로하,쿨 (COOL),Very Best Album Of Cool 1994~2003,댄스 / 가요,지니뮤직,쿨(COOL),2004.04.19,1135761,14224516
33,가슴앓이,바비 킴 (Bobby Kim),영광의 재인 OST Part.2 (KBS 수목드라마),드라마 / OST,워너뮤직,"(주)도레미엔터테인먼트, (주)김종학프로덕션",2011.11.03,53500,438639
34,하이힐,박혜경,My Favorite,락 / 가요,,Warner Music Korea,2009.08.07,28487,195370
35,내 마음의 사진,송가인,사랑의 불시착 OST Part 6 (tvN 토일 드라마),드라마 / OST,지니뮤직,Stone Music Entertainment,2020.01.25,621274,7675285
36,Tears,소찬휘,First Bridge,전체 / 가요,RIAK,,2000.03.01,805849,7440364
37,처음 사랑,유열,골든 베스트(1-5집),전체 / 가요,오아시스레코드사 뮤직컴퍼니,,1998.05.28,10459,90673
38,Nothing Better,브라운 아이드 소울 (Brown Eyed Soul),"The Wind,The Sea,The Rain",R&B/소울 / 가요,"지니뮤직, Stone Music Entertainment",갑엔터테인먼트,2007.10.30,417489,3382486
39,기억할게요,양파,뿌리 깊은 나무 OST Part.2 (SBS 수목드라마),전체 / 가요,Universal Music,"IHQ, INC.",2011.11.03,12294,68181
40,어젯밤 이야기,소방차,어젯밤 이야기,댄스 / 가요,RIAK,,1987.04.20,270062,1593830
41,슬픈 발걸음 (구두 II),씨야 (SeeYa),슬픈 발걸음 (구두 II) (Digital Single),전체 / 가요,지니뮤직,Stone Music Entertainment,2007.12.27,221386,1571878
42,영원한 사랑,핑클 (Fin.K.L),White,전체 / 가요,카카오엔터테인먼트,DSP 미디어,1999.05.01,735031,4949827
43,하늘 땅 별 땅,비비 (B.B),하늘 땅 별 땅,전체 / 가요,RIAK,,1997.01.01,451682,2922073
44,체념,빅마마 (Big Mama),Like The Bible,발라드 / 가요,YG PLUS,,2003.02.07,1218358,13520066
45,이별이래,유열,골든 베스트(1-5집),전체 / 가요,오아시스레코드사 뮤직컴퍼니,,1998.05.28,19194,102935
46,비련,비비 (B.B),B.B's Come,전체 / 가요,RIAK,,1996.04.01,122516,803930
47,응급실,Various Artists,쾌걸춘향 OST,드라마 / OST,NHN벅스,엠라이브러리,2005.01.20,1234730,14754444
48,안녕 정말 안녕,Various Artists,내게 거짓말을 해봐 OST Part.2 (SBS 월화드라마),드라마 / OST,(주)콘텐츠라이크,SH CREATIVEWORKS,2011.05.24,20118,243064
49,오랜만이야,임창정,Return To My World,발라드 / 가요,카카오엔터테인먼트,엠에스미디어,2009.03.10,1030085,12233580
50,Flower,윤미래,사랑의 불시착 OST Part 2 (tvN 토일 드라마),드라마 / OST,지니뮤직,Stone Music Entertainment,2019.12.22,1018644,11981875
51,너에게 쓰는 편지 (Feat. 린),MC몽,180 Degree,랩/힙합 / 가요,지니뮤직,Stone Music Entertainment,2004.04.23,1242507,18965020
52,좋니,윤종신,LISTEN 010 좋니,발라드 / 가요,카카오엔터테인먼트,미스틱엔터테인먼트,2017.06.22,2944996,93868254
53,욕심쟁이,심신,욕심쟁이,전체 / 가요,RIAK,,1991.01.01,42288,124310
54,두바둡 (only u),라붐 (LABOUM),LABOUM Summer Special,댄스 / 가요,㈜인터파크,주식회사 글로벌에이치미디어 (GLOBAL H),2017.07.25,89554,762200
55,Beautiful,Crush,도깨비 OST Part 4 (tvN 금토드라마),드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 화앤담픽쳐스",2016.12.17,2579167,56770757
56,내 사람 (Ivy Mix Ver.),Various Artists,Ivy Mega Mix 2006 (아이비 메가 믹스 2006),댄스 / 가요,카카오엔터테인먼트,ESJ엔터테인먼트,2006.08.17,2799,14683
57,낡은 그리움,에일리 (Ailee),낡은 그리움,발라드 / 가요,카카오엔터테인먼트,YMC엔터테인먼트㈜,2017.02.27,180609,1228606
58,어마어마해,MOMOLAND (모모랜드),어마어마해,댄스 / 가요,카카오엔터테인먼트,"(주)엠엘디엔터테인먼트, 카카오엔터테인먼트",2017.04.26,248273,2495951
59,죽도록 사랑해 (Feat. 박정현),MC몽,Show's Just Begun,랩/힙합 / 가요,NHN벅스,SCM엔터테인먼트,2008.04.17,471747,4528859
60,I LOVE U OH THANK U (Feat. 김태우 of god),Various Artists,Loving You (러빙유),전체 / 가요,(주)비씨에스뮤직,㈜에스씨앰,2008.02.11,176968,1381303
61,하늘바라기 (Feat. 하림),정은지,Dream,발라드 / 가요,카카오엔터테인먼트,플랜에이 엔터테인먼트,2016.04.18,1585867,33972297
62,담아 갈게,이무진,담아 갈게,발라드 / 가요,카카오엔터테인먼트,"TOON STUDIO, (주)뮤직카우, 메인쇼 엔터테인먼트",2021.08.26,233827,1422094
63,희나리,구창모,희나리 / 문을열어,블루스/포크 / 가요,RIAK,,1985.06.10,165660,1555110
64,아버지 (Feat. Ra.D),다이나믹 듀오,4집 Last Days : 최후의 날,랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",아메바컬쳐,2008.08.11,84954,669442
65,Perhaps Love (사랑인가요) (Prod. by 박근태),에릭남 (Eric Nam) & CHEEZE (치즈),Your BGM Vol.1,발라드 / 가요,3.14,스페이스오디티,2017.09.29,1570315,26387222
66,너와 함께,울랄라세션,너와 함께,전체 / 가요,지니뮤직,Stone Music Entertainment,2011.11.24,40923,507970
67,당신의 눈물,태진아,2015 태진아 '진진자라',트로트 / 가요,카카오엔터테인먼트,JIN-AH ENTERTAINMENT,2015.07.16,13092,179082
68,거짓말이라도 해서 널 보고싶어,백지영,거짓말이라도 해서 널 보고싶어,발라드 / 가요,카카오엔터테인먼트,트라이어스,2020.07.14,1318172,22127788
69,술 한잔 해요,지아 (Zia),술 한잔 해요 (Digital Single),발라드 / 가요,카카오엔터테인먼트,카카오엔터테인먼트,2009.12.11,1258759,18913124
70,Mr. Chu (On Stage),Apink (에이핑크),Pink Blossom,댄스 / 가요,카카오엔터테인먼트,에이큐브 엔터테인먼트,2014.03.31,1406526,22581228
71,오랜 날 오랜 밤,AKMU (악뮤),사춘기 하 (思春記 下),블루스/포크 / 가요,YG PLUS,(주)YG엔터테인먼트,2017.01.03,2420570,50214605
72,"다시 난, 여기",백예린 (Yerin Baek),사랑의 불시착 OST Part 4 (tvN 토일 드라마),드라마 / OST,지니뮤직,Stone Music Entertainment,2020.01.12,1930655,32487053
73,No Woman No Cry,스토니 스컹크 (Stony Skunk),Skunk Riddim,랩/힙합 / 가요,YG PLUS,(주)YG엔터테인먼트,2006.08.04,32953,327008
74,사고쳤어요,다비치,다비치 2nd 미니앨범 Davichi In Wonderland,발라드 / 가요,㈜인터파크,㈜인터파크,2009.02.27,818448,8940811
75,죄,루그 (Lug),LUG The First Album,전체 / 가요,RIAK,,2006.10.09,285902,2501300
76,슬픔을 참는 세가지 방법,혜령,To Expection First,R&B/소울 / 가요,RIAK,WEA Records Korea,2003.02.05,379540,2534879
77,너에게 쓰는 편지 Part.2 (Feat. LISA),MC몽,MC몽 Repackage,랩/힙합 / 가요,,,2006.12.13,100345,773242
78,Dream (Prod. by 박근태),수지 & 백현 (BAEKHYUN),Dream,R&B/소울 / 가요,카카오엔터테인먼트,"미스틱엔터테인먼트, 중앙ICS, (주)SM엔터테인먼트, (주)JYP엔터테인먼트",2016.01.07,1656711,34581439
79,이별자리,이우,이별자리,발라드 / 가요,카카오엔터테인먼트,케이에이치컴퍼니,2021.02.02,60630,641197
80,그 끝에 그대,청하,호텔 델루나 OST Part.6 (tvN 토일드라마),드라마 / OST,Dreamus,냠냠엔터테인먼트,2019.08.03,1554536,22709467
81,O Sole Mio,IZ*ONE (아이즈원),One-reeler / Act IV,댄스 / 가요,"지니뮤직, Stone Music Entertainment","오프더레코드엔터테인먼트, 스윙엔터테인먼트",2020.12.07,74710,1631766
82,My Style,조pd (ZoPD),Stardom In Future Flow,랩/힙합 / 가요,가이아프로젝트마케팅,브랜뉴뮤직 (Brand New Music),2001.12.01,47616,379096
83,진심,이예준,진심,발라드 / 가요,Universal Music,㈜해피트라이브 엔터테인먼트,2017.10.25,156767,1974810
84,I Like That,씨스타 (Sistar),沒我愛 (몰아애),댄스 / 가요,카카오엔터테인먼트,스타쉽 엔터테인먼트,2016.06.21,1172114,17891622
85,그대 고운 내사랑,어반자카파,슬기로운 의사생활 OST Part 5 (tvN 목요드라마),드라마 / OST,"지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment",2020.04.10,1405251,19374725
86,친구라도 될 걸 그랬어,거미 (Gummy),Like Them,R&B/소울 / 가요,YG PLUS,(주)YG엔터테인먼트,2003.02.07,1452776,20428700
87,Again,스페이스 A,Special Remix Album,전체 / 가요,RIAK,솔엔터테인먼트,2002.01.01,113477,1241948
88,거짓말,BIGBANG,2007' BigBang 1st Mini Album - Always (올웨이즈),랩/힙합 / 가요,YG PLUS,(주)YG엔터테인먼트,2007.08.16,1338985,12934079
89,넌 살아있다,버즈 (Buzz),넌 살아있다,락 / 가요,"지니뮤직, Stone Music Entertainment","인넥스트트렌드, 산타뮤직",2016.10.30,264570,2580145
90,모든 밤 너에게 (연애혁명 X 민현 (뉴이스트)),민현 (뉴이스트),모든 밤 너에게 (연애혁명 X 민현 (뉴이스트)),발라드 / 가요,워너뮤직,"프로젝트 리본, 느을",2021.01.06,113261,1519549
91,Tic Toc,매드 클라운 (Mad Clown),Anything Goes,랩/힙합 / 가요,(주)소리바다,소울컴퍼니,2011.11.04,136281,1312899
92,사랑합니다.,팀,First 영민,발라드 / 가요,NHN벅스,예전미디어,2003.04.01,908068,10658745
93,Loving U (러빙유),씨스타 (Sistar),Summer Special 'Loving U',댄스 / 가요,카카오엔터테인먼트,스타쉽 엔터테인먼트,2012.06.28,1129487,11875117
94,선물,멜로망스 (MeloMance),Moonlight,인디 / 가요,카카오엔터테인먼트,"민트페이퍼, 광합성",2017.07.10,3261651,107668543
95,나를 사랑했던 사람아,허각,LACRIMOSO,발라드 / 가요,카카오엔터테인먼트,에이큐브 엔터테인먼트,2012.04.03,1123906,17545146
96,너를 사랑하고도,전유나,너를 사랑하고도,전체 / 가요,RIAK,,1990.09.01,157370,1254373
97,Must Have Love (Feat. 에릭남),가인,열두 시가 되면,댄스 / 가요,(주)삼쩜일사,"에이팝엔터테인먼트, 미스틱엔터테인먼트",2015.12.22,392904,2611833
98,If You Love Me (Feat. 박재범),NS Yoon-G,If You Love Me,댄스 / 가요,Sony Music,JTM엔터테인먼트,2012.11.01,393316,8576072
99,처음 보는 나 (하트시그널 삽입곡),Steady (스테디),LISTEN 023 처음 보는 나,발라드 / 가요,(주)삼쩜일사,미스틱엔터테인먼트,2018.03.24,200596,3515141
100,여름여름해 (Sunny Summer),여자친구 (GFRIEND),여자친구 Summer Mini Album 'Sunny Summer',댄스 / 가요,카카오엔터테인먼트,쏘스뮤직,2018.07.19,1338564,17438242
101,사랑비,김태우,T-Virus,R&B/소울 / 가요,,폴라리스 엔터테인먼트,2009.09.03,1005889,10859331
102,Darling,걸스데이 (Girl's Day),GIRL'S DAY EVERYDAY #4,댄스 / 가요,㈜인터파크,㈜인터파크,2014.07.14,1265532,16666785
103,그여자,Various Artists,시크릿 가든 OST Part.1 (SBS 주말드라마),드라마 / OST,카카오엔터테인먼트,JS MUSIC,2010.11.11,725213,5253374
104,오직 하나뿐인 그대,심신,오직 하나뿐인 그대,전체 / 가요,RIAK,아트랩,1990.01.01,93804,438496
105,I Need You,허각 & 지아,I Need You,전체 / 가요,카카오엔터테인먼트,뷰가엔터테인먼트,2012.08.21,843816,11791174
106,사랑이 올까요 (Feat. 백지영) (2021),마이티 마우스 (Mighty Mouth),Re:Mighty Vol.1 - 사랑이 올까요 (2021),랩/힙합 / 가요,워너뮤직,올마이티 레코즈,2021.05.29,45905,292062
107,NoNoNo,Apink (에이핑크),Secret Garden,댄스 / 가요,카카오엔터테인먼트,에이큐브 엔터테인먼트,2013.07.05,1166127,13016386
108,사람냄새,정인 & 개리,사람냄새,R&B/소울 / 가요,카카오엔터테인먼트,리쌍컴퍼니,2014.05.27,1435009,21117016
109,연 (捐),빅마마 (Big Mama),For The People,R&B/소울 / 가요,YG PLUS,,2006.10.13,825643,10677413
110,사랑의 신호등,Various Artists,미스트롯 FINAL STAGE,트로트 / 가요,카카오엔터테인먼트,㈜티조컬처앤컨텐츠,2019.05.02,92814,971000
111,우연히 봄,로꼬 & 유주 (여자친구),냄새를 보는 소녀 OST Part.2 (SBS 수목드라마),드라마 / OST,카카오엔터테인먼트,(주)도너츠컬처,2015.04.08,2312840,43847942
112,사랑은 언제나 목마르다,유미 (Youme),Sad,전체 / 가요,(주)예전미디어,㈜아이에이치큐 (iHQ),2002.03.18,937348,9972217
113,내 사랑 (MY LOVE),이하이,달의 연인 - 보보경심 려 OST Part 10 (SBS 월화드라마),드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 냠냠엔터테인먼트",2016.10.04,523609,5448900
114,보라빛 향기,강수지,보라빛 향기,전체 / 가요,오감엔터테인먼트,신나라뮤직,1990.04.01,207758,1243202
115,추억은 눈꽃처럼,강수지,추억은 눈꽃처럼,발라드 / 가요,NHN벅스,드라뮤지끄,2010.01.27,3109,13721
116,짧은머리,허각 & 정은지,'A CUBE' FOR SEASON # BLUE,전체 / 가요,카카오엔터테인먼트,에이큐브 엔터테인먼트,2013.05.31,998990,11186264
117,Break Away,빅마마 (Big Mama),Like The Bible,발라드 / 가요,YG PLUS,,2003.02.07,623024,4051272
118,커플,젝스키스,Special,댄스 / 가요,카카오엔터테인먼트,DSP 미디어,1998.10.03,973794,9271104
119,밤 끝없는 밤,AKMU (악뮤),항해,락 / 가요,YG PLUS,(주)YG엔터테인먼트,2019.09.25,925734,8627281
120,I Don't Care,2NE1,2NE1 1st Mini Album,댄스 / 가요,YG PLUS,(주)YG엔터테인먼트,2009.07.01,1391157,13028477
121,사랑합니다,Various Artists,Miracle+미라클 Vol.1,국내CCM / CCM,,카카오엔터테인먼트,2004.04.01,412148,3488628
122,거북이,다비치,MYSTIC BALLAD Part.1,발라드 / 가요,㈜인터파크,㈜인터파크,2013.03.04,1080515,13962844
123,Marry Me,케이윌 (K.Will),The 3rd Album Part.2 'Love Blossom (러브블러썸)',발라드 / 가요,카카오엔터테인먼트,스타쉽 엔터테인먼트,2013.04.04,89862,573763
124,찾았다,Various Artists,성균관 스캔들 OST (KBS 월화드라마),드라마 / OST,(주)삼쩜일사,㈜래몽래인,2010.09.16,337116,4021131
125,장난아냐 (Rocking),틴 탑 (Teen Top),틴탑 클래스,댄스 / 가요,카카오엔터테인먼트,㈜티오피미디어,2013.08.26,324572,2707665
126,인기 (Feat. 송가인 & 챈슬러),MC몽,CHANNEL 8,랩/힙합 / 가요,Dreamus,(주)밀리언마켓,2019.10.25,1936789,37996572
127,우리의 얘기를 쓰겠소,SG워너비,시카고 타자기 OST Part 3 (tvN 금토드라마),드라마 / OST,지니뮤직,Stone Music Entertainment,2017.04.22,228478,2356512
128,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),인디 / 가요,카카오엔터테인먼트,"TOON STUDIO, 느을",2020.10.23,1372957,22842578
129,러브 델루나,태용 (TAEYONG) & 펀치 (Punch),호텔 델루나 OST Part.13 (tvN 토일드라마),드라마 / OST,Dreamus,냠냠엔터테인먼트,2019.08.24,621783,5910145
130,너만 생각나,장나라,너만 생각나,발라드 / 가요,"지니뮤직, Stone Music Entertainment",나라짱닷컴,2012.03.26,15190,104165
131,니 소식,송하예,니 소식,발라드 / 가요,㈜다날엔터테인먼트,더하기미디어,2019.05.11,2477301,80953945
132,Stay With Me,찬열 (CHANYEOL) & 펀치 (Punch),도깨비 OST Part 1 (tvN 금토드라마),드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 화앤담픽쳐스",2016.12.03,1781823,39937235
133,내 생애 가장 행복한 시간 (Feat. 허각),MC몽,MISS ME OR DISS ME,랩/힙합 / 가요,카카오엔터테인먼트,(주)RBW,2014.11.03,1080272,20326565
134,그대 내친구여,패티김,꿈의 여정 50년 칸타빌레 (50주년 기념 앨범),트로트 / 가요,RIAK,PK 프로덕션,2008.04.18,7304,55789
135,부산 바캉스,레게 강 같은 평화,YA MAN !!,전체 / 가요,카카오엔터테인먼트,QUAN ENTERTAINMENT,2012.07.30,321254,2783601
136,눈물이 나,맥켈리,멈추고 싶은 순간 : 어바웃타임 OST Part. 4 (tvN 월화드라마),드라마 / OST,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 크리허브",2018.06.19,25662,235606
137,오늘부터 1일 (Day 1),케이윌 (K.Will),ONE FINE DAY,발라드 / 가요,카카오엔터테인먼트,스타쉽 엔터테인먼트,2014.06.26,1357978,18360228
138,너와 함께 있음을,라디 (Ra. D),Realcollabo,R&B/소울 / 가요,"지니뮤직, Stone Music Entertainment",리얼콜라보,2008.12.12,40542,210087
139,부산에 가면 (With 최백호) (Inst.),에코브릿지 (Eco bridge),부산에 가면,R&B/소울 / 가요,카카오엔터테인먼트,"인넥스트트렌드, 롱플레이뮤직",2013.10.08,2875,15173
140,Give Love,AKMU (악뮤),PLAY,전체 / 가요,YG PLUS,(주)YG엔터테인먼트,2014.04.07,1615547,21328363
141,19금 INTRO. 권지용 (Middle Fingers-Up),G-DRAGON,권지용,랩/힙합 / 가요,YG PLUS,(주)YG엔터테인먼트,2017.06.08,313209,2794587
142,Don't Cry,더 크로스 (The Cross),Rush,락 / 가요,3.14,GF Entertainment,2005.05.31,627118,5880206
143,내가 갈게 (Original Ver.),울랄라세션,내가 갈게,댄스 / 가요,지니뮤직,㈜원포원엔터테인먼트,2014.09.25,134799,665083
144,기억에게 외치다 (Feat. 조현아 Of 어반자카파),장우혁,Back To The Memories,전체 / 가요,Universal Music,WH Entertainment And Universal Music,2011.11.18,10211,221578
145,그대 돌아오면..,거미 (Gummy),Gummy Unplugged,R&B/소울 / 가요,YG PLUS,(주)YG엔터테인먼트,2006.04.28,73933,490241
146,봄 같던 그녀가 춥대 (Feat. 페노메코),MC몽 & 김재환,X by X ［결핍］,랩/힙합 / 가요,카카오엔터테인먼트,IWS,2020.04.10,1221656,18069972
147,못된 여자 (Feat. 서인영),원투 (One Two),2008 One Two Digital Single,전체 / 가요,Fantom Entertainment Group,Fantom Entertainment Group (팬텀),2008.04.29,435028,4194847
148,후유증,ZE:A (제국의아이들),SPECTACULAR,댄스 / 가요,지니뮤직,스타제국,2012.07.04,409156,4501567
149,"Femme Fatale (Feat. Tyra, Beenzino)",스윙스 (Swings),Growing Pains (성장통),랩/힙합 / 가요,힙합플레이야,제이엠엔터테인먼트(JM entertainment),2010.03.11,56906,626228
150,내게 남은 사랑을 드릴께요,장혜리,내게 남은 사랑을 드릴께요 / 추억의 발라드,전체 / 가요,RIAK,,1989.05.01,111954,1089201
151,Would You Be My (Feat. Beenzino),팔로알토 (Paloalto),Fever For Calmness (Digital EP),랩/힙합 / 가요,㈜인터파크,Hi-Lite Records,2011.06.08,77523,757365
