song,artist,view
스토커 (Feat. 매드클라운) (Stalker),매드클라운,764635.5
바람꽃,이선희,763171.3478260869
금토일,달샤벳,758634.5217391305
알아요,"양파, 이보람, 소연",758455.7826086957
공일공 (010),이우,755940.3478260869
"일주일 (247) (Feat. Zion.T, Crush, DEAN)",정기고,754710.7826086957
후유증,제국의아이들 (ZE:A),754551.2173913043
"Femme Fatale (Feat. Tyra, Beenzino)",스윙스,750206.4
오락실,한스밴드,749913.9583333334
Flower,윤미래,749875.1818181818
알면 다쳐,Lim Kim,749681.0
하이힐,브레이브걸스,748601.8260869565
그대 돌아오면..,거미,747973.0434782609
얘가 이렇게 예뻤나,훈스 (HOONS),747854.875
내가 많이 사랑해요,이승철,746413.0869565217
I LUV U,헨리 (HENRY),738163.2608695652
쉼표,홍대광,736843.695652174
Break Away,빅마마,736815.5217391305
너와 함께 있음을,라디 (Ra. D),736193.7083333334
눈물이 주르륵,손담비,734311.0
Goodbye,웬디 (WENDY),733654.6521739131
부산 바캉스,레게 강 같은 평화(스컬&하하),731490.304347826
너에게로 또 다시,변진섭,730214.3478260869
"끌림 (바니와 오빠들 X 에릭남 (Eric Nam), 이나은 (에이프릴))","에릭남 (Eric Nam), 이나은 (에이프릴)",729245.0
사랑은 아프려고 하는 거죠,엠씨더맥스 (M.C the MAX),728871.6086956522
갈 수가 없어,벤,728360.3913043478
잠깐만요,어쿠루브,728122.9565217391
이 밤이 지나면,임재범,726355.7826086957
그대가 나를 본다면,반하나,717365.8695652174
천하무적 (Feat. 박장근 Of Supersta),MC몽,716570.5
내가 (Feat. Beenzino & The Quiett),Dok2,712189.1739130435
더 만나봤자 뭐해,지아,708824.1304347826
향수,"케이윌, 전우성 (노을)",704579.5909090909
첫 눈 그리고 첫 키스,"다니엘, 양요섭",701874.375
슬픔을 참는 세 가지 방법,혜령,695516.0434782609
그 남자를 떠나,god,695478.7391304348
부끄럼,멜로망스,691824.2173913043
나를 슬프게 하는 사람들,김경호,687127.2608695652
때려박는 랩 (Bonus Track) (Battlecry),매드클라운,685420.0869565217
비련,비비,684512.3913043478
Mr. Potter,DIA (다이아),683349.7826086957
이 밤의 끝,펀치 (Punch),683269.7916666666
원더우먼,"씨야, 다비치, 티아라",681157.0
편한 사람이 생겼어,일락,681100.6521739131
다시 만난 날,휘성 (Realslow),680842.3913043478
홀로 된다는 것,"변진섭,김영호",679249.8260869565
I Believe,주원,678534.7391304348
저기요,하성운,674674.8333333334
Think About' Chu (Prod. By 박근태),"샘김 (Sam Kim), 로꼬",666492.4090909091
"안녕, 오늘의 그대에게",임한별,664727.625
맨발의 청춘,벅,663206.5652173914
봄 (feat. 산다라박),박봄,660128.0869565217
당신을 위하여,더 크로스,655943.0434782609
종이새,Lim Kim,655407.5416666666
왠지 (Somehow),DIA (다이아),654150.9130434783
Mazeltov,제국의아이들 (ZE:A),653827.6521739131
너에게 쓰는 편지 Part 2 (Feat. LISA),MC몽,652792.6086956522
슬픔을 참는 세가지 방법,혜령,652009.6521739131
키친 OST,Various Artists,651258.2307692308
Dream Night,ASTRO (아스트로),648756.2173913043
반지하나,혜령,648052.4782608695
파라다이스 (메인 테마),티맥스,643057.4583333334
정신이 나갔었나봐,이승기,642869.0869565217
갖고놀래 (Feat. 다이나믹 듀오),범키,640908.7826086957
뜨거운 설탕 (Hot Sugar),터보,635012.8695652174
죄와벌 (Remix),SG 워너비,634800.2608695652
죽도록 사랑해 2 (Feat. 조성모),MC몽,633372.2727272727
키스해줄래,지나,631991.4347826086
사랑은 이제 그만,버블 시스터즈,626622.2272727273
BIRD,하성운,624316.2608695652
담아 갈게,이무진,623472.0
서울사람들,버스커 버스커,621854.6086956522
외친다 (Call Out),ASTRO (아스트로),620960.1304347826
두바둡 (only u),라붐 (LABOUM),618540.7826086957
훔쳐 (Feat. Double K),Dok2,615428.9583333334
마네킹,이루,615216.5652173914
쉽지않아 (Missing),틴탑,611633.0
나를 잊지 말아요,허각,607709.5217391305
EVERYDAY I LOVE YOU (Feat. 하슬),이달의소녀,606924.0
만만하니,유키스,603133.8695652174
죽도록 사랑해 (Feat. 박정현),MC몽,602907.7391304348
그게 좋은거야 (Time with you),규현 (KYUHYUN),601875.0434782609
붙잡았어야 해,ASTRO (아스트로),601544.6521739131
"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,599184.75
기억할게요,양파,595555.0
세상은 요지경,신신애,595241.5652173914
살아서도.. 죽어서도..,휘성 (Realslow),594733.9130434783
그녀에게 전해주오,소방차,593427.3913043478
애인만들기,SS501,592694.1739130435
사랑은 언제나 목마르다,유미,591475.1666666666
No more,Lim Kim,589690.9583333334
Please,플라워,588577.9130434783
김밥,더 자두,588222.5217391305
랑데뷰(Randezvous),양혜승,585234.2083333334
한번만 안아줘,걸스데이,584903.1739130435
Peek-A-Boo,"박규리 (카라), 허영지 (카라)",582542.9
내 곁에 서 있어줘,비투비-블루,581579.3478260869
화려한 날은 가고,유열,580783.2173913043
그대 고운 내사랑,어반자카파,580604.4782608695
어머니의 된장국 (Feat. Ra.D),다이나믹 듀오,580491.7647058824
365일,알리 (ALi),579468.695652174
Wake Up,일레인,576588.75
먼저 말해,Lim Kim,576481.8
사랑해서…(이영현 솔로),빅마마,576199.0
Lucky,Ashily,574505.1304347826
입술자국,F-ve Dolls,573796.5833333334
내 머리가 나빠서,SS501,569961.304347826
You＆I,먼데이 키즈 (Monday Kiz),562572.9565217391
I See you,강민혁,559718.9565217391
문자 (Feat. 백지영),마리오,559023.75
톡톡 (Tok Tok) (Feat. SOYA),마이티 마우스,557761.4347826086
체념 後(후),빅마마,556866.6363636364
울어,V.O.S,554838.5652173914
그 한마디 (바른연애 길잡이 X 이하이),이하이,554239.8260869565
이해해,박다혜,551847.0434782609
누나 (NUNA),김재환,551747.2608695652
사랑 앞에서,정은지,551731.8695652174
니가 필요해 (I Need You),베스티,546074.5652173914
너를 보네 (Feat. 권정열 Of 10cm),소란 (SORAN),544881.7391304348
D.I.S.C.O (Feat. TOP),엄정화,539966.5217391305
"HAVE A GOODNIGHT (취향저격 그녀 X 셔누 (몬스타엑스), 민혁 (몬스타엑스))","셔누 (몬스타엑스), 민혁 (몬스타엑스)",537442.7826086957
숙녀에게,변진섭,536295.7826086957
떠날꺼야,쎄쎄쎄,535635.8260869565
A Fool Moon Night,칵스 (THE KOXX),535224.9130434783
메아리,김태우,535006.4347826086
뒷모습이 참 예뻤구나 (At close),규현 (KYUHYUN),534967.5217391305
마지막 그 한마디,이승기,534745.5652173914
젊은 날의 초상,주영훈,534210.9565217391
어쩌다,브라운아이드걸스,533205.0
SEDANSOGU (세상에 단 하나뿐인 소중한 그대),수호 (SUHO),529875.8695652174
왜그래,김현철,528767.1739130435
나와 같다면,김장훈,526862.2608695652
Love Rain (Feat. 수란),유주 (여자친구),524208.1818181818
ONE (Feat. 정일훈 of BTOB),사무엘,523053.2083333333
썸데이,The One (더원),521996.4347826087
권태중독 (Feat. 선우정아),MC몽,516404.3333333333
"존버 (Feat. Coogie, Jiselle)",MC몽,515465.0
IF... (너만 있으면),B1A4,513284.2173913043
두근두근 (Feat. 길미),김종민,508924.4
회룡포,최향,505714.39130434784
Rainfall,첸 (CHEN),505483.76
Beverly 1lls,"수퍼비, myunDo",505257.52173913043
이름,임재범,504669.73913043475
헤어지자,서인영,503225.47826086957
사고쳤어요,다비치,501996.0869565217
Good Boy (Feat. 용준형 Of 비스트),백지영,501292.75
팔베개 (Feat. 기현) (Pillow),"소유 (SOYOU), 기리보이( FEAT.기현)",498906.6956521739
어떡하죠,지선,498875.5652173913
"둘만 아는 말투 (Feat. Ra.D, Paloalto)",제리케이 (Jerry.k),498427.94736842107
힙합 뮤직 (Feat. 임정희),주석,495685.5416666667
여자라서,아이유,494384.5652173913
눈이 내린다,god,492360.04347826086
흩어져,먼데이 키즈 (Monday Kiz),491890.52173913043
나한테 집중해,슈가볼 (Sugarbowl),491099.35714285716
진혼,야다 (Yada),490050.73913043475
넌 언제나 (디깅클럽서울 Ver.),데이브레이크 (DAYBREAK),489523.4347826087
그대가 내 안에 박혔다,황치열,487951.9130434783
마주치지 말자 (Let's Not...),SUPER JUNIOR (슈퍼주니어),487077.652173913
추억 사랑만큼 (Feat. 강현정 Of Bubble Sisters),브라운 아이드 소울,483826.5714285714
모르시나요,다비치,481850.2173913043
그 끝에 그대,청하,480592.347826087
Fly,SUPER JUNIOR-K.R.Y. (슈퍼주니어-K.R.Y.),475109.7083333333
너를 원해 (Feat. Beenzino),정기고,474338.347826087
삼각형,러블리즈,473048.82608695654
좋은사람 만나요 (Feat. 환희_Fly To The Sky),메이비 (Maybee),469668.45
"하늘, 바다, 나무, 별의 이야기",조관우,469564.39130434784
하늘색 풍선,god,468736.347826087
Only You,바비 킴,468202.73913043475
신사 ($insa),"Zion.T, C JAMM, 레디 (Reddy), 서출구",466002.4
당신의 눈물,태진아,462537.5652173913
열기구,SURL (설),461877.2631578947
"Indian Boy (Feat. 장근이, B.I)",MC몽,461650.7826086957
지우개,알리 (ALi),458263.95652173914
ANYMORE,서인영,453376.60869565216
연애시대 (Feat. Ra.D) (Narr. 한효주),이승기,453175.82608695654
사랑한다 말할까,소유 (SOYOU),453063.0869565217
영원한 사랑,핑클 (Fin.K.L),452608.3043478261
와줘..,SE7EN,452133.347826087
우유 (하니 Solo),EXID,447246.2083333333
노래 불러줘요 (Feat. 아이유),god,446876.76086956525
한번만...,혜령,445125.0869565217
고래의 꿈 (Falling In Love Again) (Feat. 김영근),바비 킴,444857.6956521739
별,태무,444710.3043478261
나를 사랑해줘 (Feat. 개코 Of 다이나믹 듀오),서인영,440848.8823529412
내 마음의 사진,송가인,439642.4347826087
눈물 내리는 날 (비),조 트리오,437577.1666666667
애련 (哀戀),컨츄리 꼬꼬,436685.375
동화 같은 사랑,Apink (에이핑크),435729.39130434784
알고있나요,썸데이,434381.73913043475
4시 44분 (Feat. 휘인 of 마마무),박봄,433863.0
아무런 말들도,"백지영, 옹성우",433796.45454545453
Mad (Feat. 언터쳐블),바다 (BADA),432966.05
O Sole Mio,IZ*ONE (아이즈원),430800.0
사랑의 신호등,정다경 (미스트롯),430720.8695652174
그렇게 사랑하고 그렇게 웃었습니다,버블 시스터즈,429603.04347826086
우리 어머니,최향,429482.04347826086
창피해,박봄,428758.6304347826
넌 달라,DIA (다이아),428686.5833333333
황혼의 문턱,왁스,427673.0
Happy Birthday,라디 (Ra. D),425509.1904761905
휴식같은 친구,김민우,424889.7826086957
눈,SURL (설),423650.0416666667
Com' Back,젝스키스,423250.6956521739
오늘밤은 어둠이 무서워요,10cm,419973.4
"호러쇼 (Feat. 강호동, Whale)",MC몽,418784.8095238095
난 너에게,민들레,418636.73913043475
그남자,현빈,417496.04347826086
이별자리,이우,416945.375
Hello,소향,416759.0
오늘 밤 (Feat. 배치기),린,415621.3043478261
하얀 바람,소방차,413974.7826086957
오빠는 풍각쟁이,신미래,412733.6956521739
동네술집,"허각, 정인",408272.5652173913
Again,스페이스 에이,408195.9130434783
Wing,박지훈,407807.5652173913
어린애 (Girls),NATURE (네이처),404946.3333333333
물망초 (Feat. 신용재),MC몽,402348.82608695654
단 하루라도 나로 살아보면,미교,393995.25
사랑이 온다,"백지영, 치타 (CHEETAH)",391745.25
왜 이리,길구봉구,391533.0869565217
미쳤나봐 (With 권정열 Of 10cm),소란 (SORAN),390486.17391304346
궁금's,하성운,388485.9130434783
하늘땅 별땅,비비,387868.95652173914
좋은 사람 Ver.1,티아라,386540.6956521739
추억속의 그대,이승기,386021.347826087
솔직히 말할까 (Narr.다솜 Of 씨스타) (Honestly),몬스타엑스,385496.9130434783
사랑은 다 이러니,홍진영,384690.9130434783
보통 같으면,한동근,384663.0
오늘 그녀가,루그,383995.0
그리워서 눈물나서,이수영,380621.04545454547
듣고 싶던 말,허각,379700.4583333333
온도 (Feat. 수란),MC몽,379428.4347826087
내 생애 가장 행복한 시간 PART.2 (FEAT.양다일),MC몽,376217.3181818182
처음사랑,유열,375025.4761904762
입영열차안에서,김민우,374954.2173913043
예쁘다,에어플레인,372427.13636363635
Nothing Better,브라운 아이드 소울,370493.4347826087
안아줘요,10CM,370410.652173913
가라지,진해성,367681.375
Sad,손승연,365660.26086956525
넌 살아있다,버즈,365025.652173913
haaAakkKKK!!!,OurR (아월),365001.8333333333
우리 잠깐 쉬어갈래요,멜로망스,363890.5652173913
착한 사람,BIGBANG,363880.47826086957
누가울어,진해성,360338.5652173913
투게더,DJ DOC,359457.6956521739
누구보다 널 사랑해,비쥬,354410.39130434784
그대 내 친구여,패티김,354323.04347826086
우리 사랑 여기까지죠,혜령,352568.347826087
이별까지는 생각 못 했어,이우,351817.1304347826
"광해, 왕이 된 남자 OST",Various Artists,350111.8695652174
너를 사랑하진 않아 (Feat. 케이시),자이언트핑크,346026.17391304346
그 길에,임한별,343508.60869565216
헤어졌다 만났다,다비치,342026.8695652174
4월 이야기 (April Story),장나라,341288.17391304346
겨울나기,이루,340292.4347826087
혼자만 하는 사랑,거미,339985.0
예쁜 속옷,지나,338475.60869565216
조강지처클럽 3 (내가 지켜줄꺼야),이루,338447.9130434783
Yesterday,박혜경,337889.6956521739
고백,장나라,337706.3043478261
그럴걸,김나영,337329.347826087
언젠가 설명이 필요한 밤 (바니와 오빠들 X 승희 (오마이걸)),승희 (오마이걸),336988.4090909091
INTRO. 권지용 (Middle Fingers-Up),G-DRAGON,335671.73913043475
사랑일뿐야,김민우,335430.652173913
아미가르 레스토랑,쎄쎄쎄,334874.7826086957
바보,혜령,331295.5652173913
I Can't,2PM,330257.17391304346
너의 곁에,변진섭,330109.73913043475
눈물 자국,김종국,330029.04347826086
말해줘요,걸스데이,326613.60869565216
별이 빛나는 밤에,원투,322579.652173913
마지막 약속,김정민,322316.52173913043
이별의 그늘,윤상,320551.4347826087
사랑합니다,이재훈,320545.2173913043
사실은,"한해, 양다일",318734.4761904762
The Romantic,투개월,317811.9130434783
"울고, 불고...","지아, 포맨",317775.28571428574
Would You...,박지훈,312729.73913043475
위로,김범수,311981.6956521739
일기장,이승철,311348.652173913
사랑이 올까요 (With 백지영),"마이티 마우스, 백지영",311140.73913043475
러브 델루나,"태용 (TAEYONG), 펀치 (Punch)",305762.347826087
공,진해성,304225.52173913043
봄비 (With 알리),김장훈,301960.2173913043
느낌이 좋아,헤일로 (HALO),301577.6666666667
흩어진 나날들,강수지,301277.26086956525
태양처럼,하현우 (국카스텐),297659.0869565217
기억해...사랑해…,플라워,296987.17391304346
첫째 날 (With 나얼),Ecobridge,294452.0
가지마,환희,294070.7916666667
여기에 있자,SURL (설),293589.25
화등,김수희,293524.82608695654
게임의 법칙,구피,291435.95652173914
RUN AWAY,GOT7 (갓세븐),291038.7083333333
그댈 새겨두어요 (바른연애 길잡이 X 린),린,284497.5652173913
가려진 시간 사이로,윤상,281884.9130434783
얼쑤,윙크,281091.4347826087
꿈에 (솔지 SOLO),EXID,278985.5833333333
My Tale,박원,278206.5652173913
쇼크,구피,277381.60869565216
봄에 오면 괴롭힐 거예요,"앤씨아,육성재 (비투비)",277257.5652173913
Too Love,XIA (준수),276473.3043478261
오.꼭.말,하성운,275878.5833333333
오빠 힘내요,김종민,275189.652173913
처음 보는 나 (하트시그널 삽입곡),Steady (스테디),274993.04761904763
잊지마요 (Feat. 박지훈),하성운,274728.3043478261
Something,강다니엘,274293.5652173913
다 생각나서,김민석 (멜로망스),273862.0869565217
연애 같은 걸 하니까,소란 (SORAN),272633.5652173913
남자는 배 여자는 항구,신미래,272390.6956521739
매일,JBJ,272346.8695652174
1llusion,Dok2,272158.04347826086
처음 느껴본 이별 (Feat. 곽진언),정은지,271235.5
애모,김수희,269651.2173913043
눈물이 툭 (Feat. 박경 Of 블락비),지아,269115.13333333336
Amen,몬스타엑스,268312.95652173914
가시리,버블 시스터즈,265496.1304347826
Stay Together,2NE1,264777.60869565216
잘할게,SE7EN,262718.0869565217
꽃길만 걷게 해줄게,데이브레이크 (DAYBREAK),262498.17391304346
Blue Rain,핑클 (Fin.K.L),262468.39130434784
나와 같은 맘이길 (Feat. 모트),이민혁,262067.53846153847
죄,루그,261625.5652173913
하늘위로 (Feat. 김지은),렉시,260244.45833333334
Trap,"스윙스, 유성은",259900.8260869565
애인(愛人),김정민,259656.52173913043
Saturday Night,god,259370.13043478262
듣고싶어 (E905),DIA (다이아),258091.0
자꾸 자꾸,일기예보,256794.95652173914
"한사람을 사랑하고 있어 (화사,휘인(마마무)(Prod.김현철))","화사 (Hwa Sa), 휘인 (Whee In), 김현철",253848.72727272726
넌 또 다른 나,이승철,253422.13043478262
우리가 사는 이야기 (Feat. 메건리),god,249508.15789473685
일년을 하루같이,바비 킴,244565.08695652173
이별이래,유열,244079.21739130435
바람필래,조성모,243773.34782608695
라이딩 (Riding) (Feat. 개코),하성운,243719.52173913043
OPEN YOUR EYES,IZ*ONE (아이즈원),242699.78260869565
너의 가슴으로 가는 길,먼데이 키즈 (Monday Kiz),241613.95833333334
날 보러와요,오유진,240479.21739130435
남잔 다 그래,이우상,240174.52173913043
하늘색 약속,god,239805.91304347827
유리 심장 (Feat. 용준형 Of 비스트),린,239200.73913043478
질투가 좋아,멜로망스,231991.04347826086
다음역,앤씨아,231943.47826086957
밤을 새 (Feat. 베이식),허각,231106.5
내 꿈이여,엠투엠 (M To M),229619.68181818182
퍼즐 (Puzzle),용주 (YONGZOO),227098.8260869565
View,적재,226587.34782608695
퇴근버스,이준호,226270.34782608695
Lonely Night,하성운,225728.69565217392
왜 이제야 왔니,정엽,225386.60869565216
You Are My Lady,정엽,224593.78260869565
목격자,박지윤,220493.78260869565
우리의 얘기를 쓰겠소,SG 워너비,219875.78260869565
Memory,김범수,218181.68181818182
너에게 약속하는 7가지,"테이, 간미연",214891.8260869565
고마웠다고...,팀,213794.8260869565
바다 끝,최백호,212914.58333333334
시간이 필요해,김재환,211424.95652173914
빙글빙글,유키스,211371.91666666666
하고싶은 말,김태우,206940.84782608695
이것도 사랑이니,이동은 (라이어밴드),205457.60869565216
벌써일년,"반하나, MJ (써니사이드)",205059.0
진심,이예준,203603.45833333334
DREAMLIKE,IZ*ONE (아이즈원),202654.52173913043
가까이 와봐,이승철,201136.34782608695
키다리 아저씨,백아연,199797.47826086957
가,유니,196993.47826086957
Blue Eyes,쿨 (COOL),195451.5909090909
불꽃처럼,JBJ95,193774.47826086957
시퍼런 봄,쏜애플 (THORNAPPLE),192054.29166666666
"서커스 (Feat. 임유경 - 달래 음악단 , ＄howgun)",MC몽,191381.2105263158
기억에게 외치다 (Feat. 조현아 Of 어반자카파),장우혁,191369.75
눈을 보고 말해요,라디 (Ra. D),190239.13043478262
사랑했다 미워했다 (I Loved You),황치열,188186.70588235295
마주보며 서 있어,인피니트,187479.69565217392
After Party,김재환,186802.34782608695
영원한 사랑,"씨야, 다비치, 티아라",185419.0909090909
여기요,홍자 (미스트롯),185091.86956521738
안녕 정말 안녕,엠투엠 (M To M),184654.4347826087
백설공주를 사랑한 난장이,더 크로스,183554.60869565216
Couple Song (Feat. Kelley),라디 (Ra. D),180795.86956521738
통화중,소방차,180634.95652173914
"나 이런 여자예요 (With 예지, 체스카 Of 피에스타)",지아,179612.85714285713
찾았다,"박유천, XIA (준수), 김재중",179032.125
그대 슬픔까지 사랑해,심신,178297.52173913043
별,임한별,177699.625
미운오리새끼,god,177501.39130434784
난 좋아,정준일,177022.91304347827
담배 좀 줄여,미스에스 (Miss $),175513.5652173913
오빠만 믿어,박현빈,175099.08695652173
쩐의 전쟁 출사표,솔로몬,174292.09523809524
연애 할까요,황보,173995.13043478262
빨간 운동화,박혜경,171126.60869565216
니가 참 좋아,10CM,170897.95652173914
행복해 (Feat. 키겐 of 팬텀),애즈원,168585.2
무한지애(無恨之愛),김정민,168289.78260869565
모두 잠든 후에,김원준,167894.86956521738
Tonight,권순관,166831.45652173914
흑백사진 (2021) (바른연애 길잡이 X KCM),KCM,166291.72727272726
Let Me Dance,렉시,166090.34782608695
Lonely,윤하,165549.21739130435
어젠 (DUET.환희),송지은,164884.95833333334
독약 (毒藥) (Feat. 해리 Of 다비치),더 씨야,164434.13043478262
Go Higher,GOT7 (갓세븐),163297.79166666666
홀로 아리랑,이송연,161610.0
가슴앓이,바비 킴,157414.0
Good Good Time,코요태,156981.04347826086
농담 반 진담 반,슈가볼 (Sugarbowl),156353.7142857143
넘사벽 (Incomparable),몬스타엑스,153595.875
오직 하나뿐인 그대,심신,152087.86956521738
180˚,MC몽,151075.30434782608
각 (Angle),황치열,148965.30434782608
그녀에게,유엔,148536.04347826086
서울,쏜애플 (THORNAPPLE),148185.125
욕심쟁이,심신,144213.34782608695
모든 밤 너에게 (연애혁명 X 민현 (뉴이스트)),민현 (뉴이스트),143964.18181818182
Feeling (Feat. PENOMECO),정세운,141033.86956521738
사랑하는 너에게,젝스키스,140779.1739130435
행복한 나를,쏜애플 (THORNAPPLE),137731.60869565216
보란듯이 (Feat. 앤덥),손승연,134898.5652173913
눈물아 안녕,아이비,134782.0
겨울이야기,조관우,134347.13043478262
용의자 O.S.T,Various Artists,133979.5294117647
내가 되었으면,노리플라이 (no reply),129974.52380952382
부산에 가면 (With. 최백호),Ecobridge,126510.30434782608
Aspirin (아스피린),걸,124243.34782608696
아지랑이,쏜애플 (THORNAPPLE),123452.33333333333
웃픈 하루,god,121766.60869565218
밤이 두려워진 건,정동하,118855.91304347826
눈이 멀었다,MC몽,118392.91666666667
나의 봄 (Feat. CHEEZE),노리플라이 (no reply),114554.36842105263
MaMa,바비 킴,113416.13043478261
Zzz,김재환,112407.13043478261
들었다 놨다,데이브레이크 (DAYBREAK),112301.625
돌아버리겠네,아웃렛 (OUTLET),111826.34782608696
삐뚤어졌어,선우정아,111614.66666666667
첫사랑,오투포,111093.16666666667
바다를 나는 거북이 (PROD. 이단옆차기),정세운,110941.08695652174
빗물이 내려서,김태우,110671.08695652174
약속,제로,104744.34782608696
영원,조관우,101038.08695652174
세상 단 한번의 사랑,하동균,100500.65217391304
소원,김현성,96277.73913043478
문득,하성운,95004.75
오랜만이죠 (Feat. 신지수),라디 (Ra. D),94441.15
그리운 건 어쩔 수 없어,환희,91627.0
찬찬찬,편승엽,89842.73913043478
거문고야,송가인,86207.82608695653
슬픈다짐,야다 (Yada),85482.34782608696
어떤 설레임,라디 (Ra. D),85322.43478260869
잘 지내 (Feat. 정인),자이언트핑크,83510.47368421052
블루메이즈 (Bluemaze),하성운,77122.26086956522
꿈(夢),송가인,76744.84782608696
출 (出),리사,74351.53846153847
바람고개,진해성,74141.52173913043
2월,쏜애플 (THORNAPPLE),73769.79166666667
그 사람... 욕하지 마요,천상지희 더 그레이스 (The Grace),70473.70833333333
너에겐 이별 나에겐 기다림,김재중,65335.69565217391
너를 공부해,소란 (SORAN),65053.125
분홍립스틱,송윤아,64762.913043478264
어른병 (I Lost Me),황치열,63619.52380952381
만약에 우리 둘 중 하나라도 (If We Were) (한반도OST),화요비,62881.28571428572
너를 보내며,젝스키스,62203.95652173913
A Door,권순관,60658.47826086957
"조금씩, 천천히, 너에게","노리플라이 (no reply), 타루",59511.95652173913
사랑 바보,양수경,58750.782608695656
너만 봐 (Feat. The Channels),유지,56900.72727272727
Say,젝스키스,56086.391304347824
나만 알고 싶다,소란 (SORAN),54012.25
My Style,조PD (ZoPD),50637.4
Reason (Male Ver.),바비 킴,50227.0
결혼합니다 (Duet. 태사비애),지천비화,47110.52173913043
기적 (What about you),소란 (SORAN),43249.125
행복,소란 (SORAN),41910.0
Dry Flower,SURL (설),39578.666666666664
발작 (發作),원티드,37474.913043478264
오늘 뭐해?!,하성운,32114.608695652172
휘경동 부르스,신승태,31535.82608695652
눈물이 나,맥켈리,22403.043478260868
꽃잎점 (하트시그널 삽입곡),PERC%NT,16485.958333333332
화양연화,이태종,15112.608695652174
